league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,Forward/Midfielder,26.0,1997.0,24,14,1139,12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,Defender,31.0,1993.0,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,Midfielder,28.0,1996.0,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1.0,3.8,22,45,38,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,Forward,26.0,1997.0,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,Defender,26.0,1997.0,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.5,0.5,1.1,1.6,48,42,90,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,Forward/Midfielder,22.0,2002.0,37,37,3114,34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,Forward,28.0,1995.0,38,31,2598,28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,Defender,27.0,1997.0,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,Goalkeeper,34.0,1990.0,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,Midfielder,30.0,1993.0,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,0.6,2.4,15,36,10,0.46,0.15,0.62,0.46,0.62,0.27,0.1,0.37,0.27,0.37
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,Defender,31.0,1993.0,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,40,1,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,Midfielder,27.0,1997.0,36,35,3026,33.6,3,7,10,3,0,1,4,0,3.3,2.5,7.0,9.5,39,235,48,0.09,0.21,0.3,0.09,0.3,0.1,0.21,0.31,0.07,0.28
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,Defender,33.0,1991.0,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,Midfielder,20.0,2003.0,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.19,0.09,0.19
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,Forward,24.0,2000.0,37,36,3203,35.6,11,5,16,11,0,0,9,0,10.0,10.0,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,Midfielder/Forward,19.0,2004.0,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,Forward,22.0,2002.0,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,Forward,20.0,2003.0,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.76,0.0,0.76,0.76,0.76,0.75,0.15,0.9,0.75,0.9
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,Forward/Midfielder,27.0,1997.0,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,Defender,19.0,2005.0,32,26,2427,27.0,3,2,5,3,0,0,10,0,1.9,1.9,2.0,3.9,41,132,10,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,Forward/Midfielder,27.0,1997.0,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,Forward,24.0,1999.0,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,Defender,21.0,2002.0,36,35,3109,34.5,0,1,1,0,0,0,4,1,1.3,1.3,0.7,2.0,27,140,4,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06
ENG-Premier League,2425,Bournemouth,James Hill,ENG,Defender,22.0,2002.0,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.0,0.2,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,Defender,22.0,2001.0,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,Defender/Forward,19.0,2005.0,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,Midfielder,25.0,1999.0,34,29,2340,26.0,12,6,18,6,6,6,8,0,10.3,5.6,4.8,10.5,81,105,173,0.46,0.23,0.69,0.23,0.46,0.4,0.19,0.58,0.22,0.4
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,Goalkeeper,29.0,1994.0,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,Midfielder/Defender,27.0,1997.0,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,Forward/Midfielder,25.0,1999.0,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,Defender,27.0,1997.0,17,13,1106,12.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,62,7,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
