league,season,team,player,nationality,position,age,birth_year,90s,goals,shots,shots_on_target,shot_accuracy,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_kicks_made,penalty_kicks_attempted,expected_goals,expected_goals_non_penalty,expected_goals_per_shot_non_penalty,goals_minus_expected,non_penalty_goals_minus_expected
ENG-Premier League,2425,Brentford,Kim Jisoo,,,19.0,2004.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,,,26.0,1998.0,16.0,0,9,3,33.3,0.56,0.19,0.0,0.0,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0
ENG-Premier League,2425,Brentford,Mads Roerslev,,,25.0,1999.0,12.2,0,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,2425,Brentford,Mark Flekken,,,31.0,1993.0,36.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Mathias Jensen,,,28.0,1996.0,9.6,0,6,1,16.7,0.63,0.1,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,2425,Brentford,Michael Kayode,,,20.0,2004.0,5.9,0,2,0,0.0,0.34,0.0,0.0,,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,,,24.0,2000.0,32.3,2,35,7,20.0,1.08,0.22,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8
ENG-Premier League,2425,Brentford,Nathan Collins,,,23.0,2001.0,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5
ENG-Premier League,2425,Brentford,Rico Henry,,,27.0,1997.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Ryan Trevitt,,,21.0,2003.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Sepp van den Berg,,,22.0,2001.0,28.7,0,20,6,30.0,0.7,0.21,0.0,0.0,10.5,0,0,0,2.0,2.0,0.1,-2.0,-2.0
ENG-Premier League,2425,Brentford,Thiago,,,23.0,2001.0,1.9,0,2,0,0.0,1.03,0.0,0.0,,14.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2425,Brentford,Vitaly Janelt,,,26.0,1998.0,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,,,20.0,2004.0,16.1,0,9,2,22.2,0.56,0.12,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ENG-Premier League,2425,Brentford,Yoane Wissa,,,27.0,1996.0,32.4,19,90,41,45.6,2.77,1.26,0.21,0.46,13.2,0,0,0,18.5,18.5,0.21,0.5,0.5
ENG-Premier League,2425,Brentford,Yunus Emre Konak,,,18.0,2006.0,0.5,0,1,0,0.0,2.14,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2
ENG-Premier League,2425,Brighton,Adam Webster,,,29.0,1995.0,9.9,0,5,1,20.0,0.51,0.1,0.0,0.0,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2425,Brighton,Bart Verbruggen,,,21.0,2002.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brighton,Billy Gilmour,,,23.0,2001.0,1.1,0,1,0,0.0,0.92,0.0,0.0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1
ENG-Premier League,2425,Brighton,Brajan Gruda,,,20.0,2004.0,7.6,1,11,5,45.5,1.44,0.66,0.09,0.2,16.9,2,0,0,1.2,1.2,0.11,-0.2,-0.2
ENG-Premier League,2425,Brighton,Carlos Baleba,,,20.0,2004.0,29.6,3,44,11,25.0,1.49,0.37,0.07,0.27,25.5,1,0,0,3.1,3.1,0.07,-0.1,-0.1
ENG-Premier League,2425,Brighton,Danny Welbeck,,,33.0,1990.0,23.5,10,59,23,39.0,2.51,0.98,0.15,0.39,15.3,9,1,1,9.6,8.8,0.15,0.4,0.2
