,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23,2001,16.0,13,8,8,3,2,2,9,22.2,7,5,1,4,2,15,11,0
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,30,1993,4.0,7,5,4,3,0,5,7,71.4,2,8,5,3,5,12,31,1
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25,1999,23.9,49,25,23,21,5,15,36,41.7,21,28,9,19,32,81,51,4
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,30,1994,15.4,34,20,25,9,0,17,30,56.7,13,20,13,7,13,47,53,2
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,26,1997,11.9,19,14,8,10,1,10,25,40.0,15,10,3,7,9,28,29,0
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28,1996,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5
ENG-Premier League,2425,Southampton,Jay Robinson,ENG,"MF,FW",17,2007,1.5,4,1,3,0,1,1,1,100.0,0,0,0,0,0,4,1,0
ENG-Premier League,2425,Southampton,Joachim Kayi Sanda,FRA,DF,17,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,"MF,DF",28,1996,22.4,47,33,17,24,6,17,35,48.6,18,28,11,17,20,67,32,3
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22,2002,15.6,22,17,9,5,8,10,15,66.7,5,16,4,12,6,28,9,0
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27,1997,32.4,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20,2004,18.4,50,24,16,30,4,18,36,50.0,18,27,10,17,14,64,23,2
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20,2004,32.3,89,48,45,28,16,33,72,45.8,39,43,8,35,28,117,35,7
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,27,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22,2002,8.6,14,8,8,5,1,8,11,72.7,3,9,6,3,5,19,39,2
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30,1994,11.7,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,FW,28,1996,4.3,6,4,1,1,4,3,8,37.5,5,3,0,3,1,7,7,0
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30,1994,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,"DF,MF",28,1996,16.2,28,17,16,10,2,14,26,53.8,12,20,11,9,17,45,47,0
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21,2003,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22,2002,31.4,28,20,13,12,3,19,35,54.3,16,65,43,22,30,58,141,6
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18,2006,20.8,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1
ENG-Premier League,2425,Southampton,Welington,BRA,DF,23,2001,5.4,21,9,15,5,1,12,19,63.2,7,5,1,4,7,28,36,0
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24,2000,7.7,20,13,9,9,2,7,22,31.8,15,8,0,8,2,22,14,2
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,"DF,MF",24,2000,17.3,31,18,16,14,1,19,31,61.3,12,21,10,11,11,42,53,3
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,21,2003,6.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,9,1
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18,2006,19.5,16,8,4,8,4,7,17,41.2,10,22,11,11,19,35,50,2
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31,1993,14.8,17,11,8,8,1,9,17,52.9,8,28,19,9,12,29,81,1
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23,2001,24.2,39,26,9,20,10,16,34,47.1,18,25,3,22,4,43,14,0
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26,1998,15.7,35,29,26,8,1,21,30,70.0,9,18,3,15,21,56,57,2
ENG-Premier League,2425,Tottenham,Dane Scarlett,ENG,"FW,MF",20,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24,2000,26.5,45,23,17,13,15,19,51,37.3,32,34,5,29,13,58,10,1
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,21,2002,21.4,75,47,42,26,7,33,48,68.8,15,40,6,34,22,97,36,1
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,23,2000,19.9,47,34,25,15,7,23,30,76.7,7,28,9,19,21,68,74,2
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,26,1997,24.5,18,11,1,12,5,4,16,25.0,12,20,9,11,1,19,23,0
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36,1988,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,27,1996,24.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,6
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,27,1996,20.1,31,19,8,16,7,9,29,31.0,20,15,4,11,12,43,19,1
ENG-Premier League,2425,Tottenham,Kevin Danso,AUT,DF,25,1998,9.4,7,5,4,3,0,6,11,54.5,5,15,14,1,6,13,71,1
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18,2006,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3
ENG-Premier League,2425,Tottenham,Mathys Tel,FRA,FW,19,2005,10.1,16,6,5,6,5,5,13,38.5,8,8,1,7,2,18,8,2
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23,2001,11.3,10,6,5,4,1,8,14,57.1,6,12,8,4,10,20,39,1
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,16,2007,4.1,2,1,2,0,0,0,4,0.0,4,2,0,2,1,3,4,0
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,21,2002,21.3,49,36,19,23,7,12,25,48.0,13,26,10,16,30,79,25,1
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,24,1999,29.0,66,49,34,22,10,44,77,57.1,33,44,17,27,36,102,84,2
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22,2002,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27,1997,5.6,5,3,0,4,1,0,3,0.0,3,1,1,0,0,5,8,0
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27,1997,18.3,40,22,19,17,4,19,40,47.5,21,25,8,17,40,80,38,1
ENG-Premier League,2425,Tottenham,Sergio Reguilón,ESP,DF,27,1996,2.2,4,3,1,3,0,2,5,40.0,3,7,0,7,4,8,8,0
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32,1992,23.4,17,9,3,8,6,5,27,18.5,22,11,0,11,5,22,17,1
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28,1996,5.7,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,"FW,MF",19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,"FW,MF",19,2004,9.4,14,5,5,4,5,8,14,57.1,6,6,0,6,4,18,5,1
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,27,1996,15.6,49,31,20,25,4,19,34,55.9,15,11,6,5,18,67,40,4
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,34,1989,9.2,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,37,0
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,35.0,70,49,33,32,5,23,32,71.9,9,37,11,26,66,136,125,0
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,3
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24,2000,1.8,7,4,3,3,1,1,5,20.0,4,5,1,4,1,8,5,0
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,"MF,FW",27,1997,15.7,16,11,9,6,1,7,23,30.4,16,19,6,13,8,24,21,2
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",22,2001,8.7,13,7,2,8,3,3,9,33.3,6,13,4,9,0,13,7,0
ENG-Premier League,2425,West Ham,Danny Ings,ENG,"FW,MF",32,1992,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,26,1997,19.7,50,27,27,15,8,17,35,48.6,18,23,8,15,18,68,46,1
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,29,1994,23.5,60,31,37,18,5,27,48,56.3,21,32,8,24,21,81,59,0
ENG-Premier League,2425,West Ham,Evan Ferguson,IRL,FW,19,2004,1.7,3,1,0,1,2,0,0,,0,2,1,1,1,4,1,0
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30,1994,12.8,36,19,21,15,0,17,33,51.5,16,23,9,14,13,49,35,1
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,29,1994,11.5,20,14,8,8,4,7,19,36.8,12,6,3,3,8,28,15,0
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,33.0,41,26,13,12,16,19,40,47.5,21,22,4,18,16,57,25,0
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24,1999,20.3,47,28,30,15,2,26,36,72.2,10,25,13,12,26,73,83,3
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,26,1997,22.7,35,24,24,10,1,16,27,59.3,11,25,18,7,40,75,126,1
ENG-Premier League,2425,West Ham,Lewis Orford,ENG,MF,18,2006,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,26.4,66,37,25,30,11,27,55,49.1,28,29,4,25,18,84,37,6
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,"MF,FW",18,2006,1.7,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,2,0
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27,1997,37.2,39,24,16,20,3,23,27,85.2,4,58,40,18,38,77,212,6
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,28.8,38,23,9,18,11,10,27,37.0,17,24,1,23,4,42,8,2
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31,1993,8.8,4,3,0,1,3,3,4,75.0,1,1,0,1,1,5,16,0
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,"DF,FW",18,2005,7.4,21,11,17,3,1,14,22,63.6,8,14,2,12,11,32,26,0
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29,1995,28.5,46,21,20,23,3,26,44,59.1,18,41,21,20,20,66,85,1
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,31,1992,11.9,22,15,13,7,2,10,22,45.5,12,13,11,2,8,30,39,1
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39,1985,12.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,27.5,91,55,41,41,9,37,63,58.7,26,42,8,34,37,128,30,1
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,22,2001,0.0,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20,2004,2.7,8,5,5,2,1,4,6,66.7,2,3,0,3,1,9,2,1
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34,1990,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",28,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,15.7,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,11.1,16,5,2,6,8,4,16,25.0,12,11,0,11,5,21,4,0
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,7.3,6,4,2,1,3,2,6,33.3,4,9,0,9,2,8,11,0
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26,1998,18.6,39,24,17,19,3,14,20,70.0,6,19,3,16,10,49,18,1
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,15,1
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,33.0,116,71,55,53,8,48,110,43.6,62,42,4,38,25,141,33,0
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,28.7,10,6,2,3,5,4,27,14.8,23,19,4,15,6,16,29,0
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,15.2,51,31,27,19,5,20,29,69.0,9,12,7,5,27,78,50,3
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,12.0,24,10,7,11,6,13,23,56.5,10,14,1,13,6,30,18,0
ENG-Premier League,2425,Wolves,Mateus Mane,,MF,,,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,28.9,38,22,17,16,5,13,39,33.3,26,21,1,20,17,55,23,0
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32,1992,23.4,38,21,25,13,0,17,25,68.0,8,28,15,13,22,60,102,3
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,21,2002,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,1
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,30,1993,32.1,62,36,32,21,9,34,57,59.6,23,32,10,22,23,85,104,3
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32,1992,9.0,16,8,4,8,4,10,16,62.5,6,10,0,10,4,20,7,1
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,DF,18,2006,0.8,1,0,0,0,1,1,3,33.3,2,0,0,0,2,3,5,0
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,34.5,89,57,52,28,9,43,70,61.4,27,42,6,36,26,115,75,2
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21,2003,9.0,23,15,14,9,0,12,21,57.1,9,8,1,7,7,30,20,1
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,25,1998,18.7,41,21,22,18,1,17,22,77.3,5,36,21,15,15,56,70,0
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,22,2001,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,29.0,61,43,42,15,4,37,46,80.4,9,29,17,12,25,86,152,5
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23,2001,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1
ESP-La Liga,2425,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25,1998,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,6.6,18,10,7,11,0,8,10,80.0,2,2,1,1,10,28,24,1
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997,21.6,49,30,19,29,1,20,48,41.7,28,21,5,16,14,63,43,1
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000,30.3,67,40,23,37,7,32,83,38.6,51,30,7,23,42,109,48,1
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,20,0
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26,1997,3.7,2,2,0,1,1,1,2,50.0,1,1,0,1,1,3,7,0
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,"MF,FW",26,1998,12.1,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,26,1998,5.4,19,14,10,6,3,6,11,54.5,5,5,2,3,8,27,14,1
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"FW,MF",22,2002,14.8,43,21,18,16,9,13,49,26.5,36,30,1,29,5,48,20,0
ESP-La Liga,2425,Alavés,Carlos Vicente,ESP,"FW,MF",25,1999,34.4,47,31,26,11,10,25,64,39.1,39,34,2,32,14,61,40,0
ESP-La Liga,2425,Alavés,Facundo Garcés,MAS,DF,24,1999,7.5,6,2,4,2,0,3,5,60.0,2,8,6,2,5,11,51,0
ESP-La Liga,2425,Alavés,Hugo Novoa,ESP,"DF,MF",21,2003,2.6,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
ESP-La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994,15.7,32,18,11,17,4,17,30,56.7,13,12,0,12,9,41,21,0
ESP-La Liga,2425,Alavés,Jon Guridi,ESP,"MF,FW",29,1995,23.1,40,22,7,26,7,18,44,40.9,26,19,1,18,14,54,16,0
ESP-La Liga,2425,Alavés,Kiké,ESP,FW,34,1989,28.2,19,14,1,12,6,6,17,35.3,11,11,4,7,1,20,23,0
ESP-La Liga,2425,Alavés,Luis Rioja,ESP,FW,30,1993,0.3,2,1,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0
ESP-La Liga,2425,Alavés,Luka Romero,ARG,"FW,MF",19,2004,2.2,4,4,1,1,2,2,3,66.7,1,2,0,2,1,5,0,0
ESP-La Liga,2425,Alavés,Manu Sánchez,ESP,DF,23,2000,29.3,83,56,40,33,10,41,69,59.4,28,51,12,39,30,113,76,1
ESP-La Liga,2425,Alavés,Moussa Diarra,MLI,DF,23,2000,20.7,40,24,19,18,3,17,29,58.6,12,15,5,10,21,61,46,1
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,28,1996,32.5,96,61,61,30,5,53,88,60.2,35,33,9,24,47,143,123,2
ESP-La Liga,2425,Alavés,Pau Cabanes,ESP,"MF,FW",19,2005,2.1,8,2,4,3,1,6,13,46.2,7,2,0,2,0,8,1,0
ESP-La Liga,2425,Alavés,Pica,ESP,DF,22,2002,5.5,9,7,7,2,0,4,9,44.4,5,7,6,1,9,18,26,0
ESP-La Liga,2425,Alavés,Santiago Mouriño,URU,DF,22,2002,20.5,43,28,31,12,0,21,38,55.3,17,27,12,15,29,72,120,0
ESP-La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",30,1993,7.8,14,9,6,7,1,6,11,54.5,5,2,0,2,1,15,7,0
ESP-La Liga,2425,Alavés,Tomás Conechny,ARG,"FW,MF",26,1998,9.4,15,12,6,7,2,9,27,33.3,18,14,2,12,6,21,10,0
ESP-La Liga,2425,Alavés,Toni Martínez,ESP,FW,27,1997,11.2,12,7,5,4,3,4,8,50.0,4,8,2,6,1,13,15,0
ESP-La Liga,2425,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002,12.2,20,11,11,7,2,10,15,66.7,5,10,3,7,12,32,27,1
ESP-La Liga,2425,Athletic Club,Adu Ares,ESP,FW,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,FW,18,2005,0.6,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0
ESP-La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,24,2000,20.1,15,13,10,5,0,8,15,53.3,7,26,15,11,22,37,114,4
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
ESP-La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,34,1989,3.0,8,4,1,7,0,3,6,50.0,3,1,0,1,2,10,10,0
ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,27,1996,16.5,47,28,31,9,7,30,45,66.7,15,18,2,16,18,65,62,0
ESP-La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,23,2001,19.1,55,36,20,27,8,25,53,47.2,28,21,2,19,28,83,26,0
ESP-La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999,29.0,40,26,23,14,3,21,32,65.6,11,26,10,16,47,87,152,2
ESP-La Liga,2425,Athletic Club,Endika Buján,ESP,FW,21,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,27,1996,20.4,16,8,1,13,2,7,31,22.6,24,28,4,24,9,25,23,0
ESP-La Liga,2425,Athletic Club,Iñaki Williams,GHA,FW,30,1994,29.5,17,10,4,8,5,12,23,52.2,11,34,5,29,12,29,32,0
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,31,1993,8.6,15,12,12,3,0,9,17,52.9,8,7,2,5,9,24,29,2
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30,1993,16.4,36,22,11,17,8,20,31,64.5,11,11,4,7,16,52,14,2
ESP-La Liga,2425,Athletic Club,Javi Martón,ESP,"FW,MF",25,1999,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,MAR,FW,23,2001,8.4,5,0,1,4,0,2,7,28.6,5,1,0,1,1,6,2,1
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,20,2003,24.9,84,48,25,45,14,41,83,49.4,42,24,4,20,29,113,36,2
ESP-La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,31,1993,11.0,22,15,7,13,2,12,28,42.9,16,10,1,9,15,37,26,0
ESP-La Liga,2425,Athletic Club,Nico Williams,ESP,FW,22,2002,22.2,28,18,10,11,7,11,32,34.4,21,20,1,19,7,35,9,0
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,ESP,FW,21,2003,1.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
ESP-La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,24,2000,18.0,13,8,6,6,1,5,14,35.7,9,10,0,10,5,18,6,0
ESP-La Liga,2425,Athletic Club,Peio Canales,ESP,"MF,FW",19,2005,2.9,3,2,0,1,2,1,1,100.0,0,3,0,3,2,5,2,0
ESP-La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003,14.3,12,8,3,7,2,4,7,57.1,3,13,1,12,2,14,15,1
ESP-La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,27,1997,7.2,10,5,7,3,0,4,7,57.1,3,4,4,0,17,27,46,1
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,14,4
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,29,1995,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,34,1990,22.7,33,21,19,11,3,19,33,57.6,14,25,5,20,27,60,72,3
ESP-La Liga,2425,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995,26.0,32,16,6,16,10,14,31,45.2,17,23,2,21,10,42,18,0
ESP-La Liga,2425,Athletic Club,Álvaro djaló,ESP,FW,24,1999,7.3,8,5,3,2,3,1,3,33.3,2,4,0,4,1,9,4,0
