league,season,team,player,nationality,position,age,birth_year,90s,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,challenge_tackles,challenges_attempted,tackle_success_rate,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors
ENG-Premier League,2425,Brentford,Yoane Wissa,,,27.0,1996.0,32.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,21,3
ENG-Premier League,2425,Brentford,Yunus Emre Konak,,,18.0,2006.0,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0
ENG-Premier League,2425,Brighton,Adam Webster,,,29.0,1995.0,9.9,10,6,5,4,1,6,14,42.9,8,16,9,7,20,30,41,2
ENG-Premier League,2425,Brighton,Bart Verbruggen,,,21.0,2002.0,36.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,29,5
ENG-Premier League,2425,Brighton,Billy Gilmour,,,23.0,2001.0,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
ENG-Premier League,2425,Brighton,Brajan Gruda,,,20.0,2004.0,7.6,16,8,6,6,4,7,14,50.0,7,8,0,8,2,18,5,1
ENG-Premier League,2425,Brighton,Carlos Baleba,,,20.0,2004.0,29.6,79,46,26,37,16,48,80,60.0,32,47,11,36,46,125,44,1
ENG-Premier League,2425,Brighton,Danny Welbeck,,,33.0,1990.0,23.5,26,16,6,15,5,8,20,40.0,12,19,4,15,5,31,14,0
ENG-Premier League,2425,Brighton,Diego Gómez,,,21.0,2003.0,5.7,21,13,11,8,2,12,22,54.5,10,13,0,13,8,29,10,1
ENG-Premier League,2425,Brighton,Eiran Cashin,,,22.0,2001.0,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
ENG-Premier League,2425,Brighton,Evan Ferguson,,,19.0,2004.0,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,,,24.0,1999.0,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
ENG-Premier League,2425,Brighton,Georginio Rutter,,,22.0,2002.0,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
ENG-Premier League,2425,Brighton,Harry Howell,,,15.0,2008.0,0.1,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
ENG-Premier League,2425,Brighton,Igor,,,26.0,1998.0,10.7,5,5,2,2,1,4,10,40.0,6,24,14,10,4,9,39,1
