league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Brentford,Fabio Carvalho,,,21.0,2002.0,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0
ENG-Premier League,2425,Brentford,Frank Onyeka,,,26.0,1998.0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,
ENG-Premier League,2425,Brentford,Gustavo Nunes,,,18.0,2005.0,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,,,22.0,2001.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,,,18.0,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,,,23.0,2001.0,34.4,7,0,0,18,31,4,78,21,27,1,0,0,146,27,35,43.5
ENG-Premier League,2425,Brentford,Kevin Schade,,,22.0,2001.0,25.5,3,0,0,21,38,13,38,5,25,1,0,0,83,90,80,52.9
ENG-Premier League,2425,Brentford,Kim Jisoo,,,19.0,2004.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Brentford,Kristoffer Ajer,,,26.0,1998.0,16.0,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54.0
ENG-Premier League,2425,Brentford,Mads Roerslev,,,25.0,1999.0,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7
ENG-Premier League,2425,Brentford,Mark Flekken,,,31.0,1993.0,36.4,1,0,0,0,3,0,0,0,4,0,0,0,39,4,0,100.0
ENG-Premier League,2425,Brentford,Mathias Jensen,,,28.0,1996.0,9.6,2,0,0,7,10,0,33,8,10,0,0,0,48,8,5,61.5
ENG-Premier League,2425,Brentford,Michael Kayode,,,20.0,2004.0,5.9,2,0,0,8,3,0,10,7,11,0,0,0,34,9,4,69.2
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,,,24.0,2000.0,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8
ENG-Premier League,2425,Brentford,Nathan Collins,,,23.0,2001.0,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9
ENG-Premier League,2425,Brentford,Rico Henry,,,27.0,1997.0,1.1,0,0,0,2,2,0,2,1,2,0,0,0,7,2,1,66.7
ENG-Premier League,2425,Brentford,Ryan Trevitt,,,21.0,2003.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
ENG-Premier League,2425,Brentford,Sepp van den Berg,,,22.0,2001.0,28.7,3,0,0,23,5,1,7,21,24,1,0,0,97,94,77,55.0
ENG-Premier League,2425,Brentford,Thiago,,,23.0,2001.0,1.9,0,0,0,3,3,1,2,2,3,0,0,0,12,7,5,58.3
ENG-Premier League,2425,Brentford,Vitaly Janelt,,,26.0,1998.0,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,,,20.0,2004.0,16.1,6,0,0,19,13,2,16,13,28,0,0,0,113,8,10,44.4
ENG-Premier League,2425,Brentford,Yoane Wissa,,,27.0,1996.0,32.4,5,0,0,34,51,14,20,8,12,1,0,0,81,30,36,45.5
ENG-Premier League,2425,Brentford,Yunus Emre Konak,,,18.0,2006.0,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7
ENG-Premier League,2425,Brighton,Adam Webster,,,29.0,1995.0,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80.0
ENG-Premier League,2425,Brighton,Bart Verbruggen,,,21.0,2002.0,36.0,5,0,0,0,2,0,0,0,0,0,0,0,59,10,1,90.9
ENG-Premier League,2425,Brighton,Billy Gilmour,,,23.0,2001.0,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,
ENG-Premier League,2425,Brighton,Brajan Gruda,,,20.0,2004.0,7.6,0,0,0,7,12,1,29,2,8,0,0,0,26,3,5,37.5
ENG-Premier League,2425,Brighton,Carlos Baleba,,,20.0,2004.0,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60.0
ENG-Premier League,2425,Brighton,Danny Welbeck,,,33.0,1990.0,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7
ENG-Premier League,2425,Brighton,Diego Gómez,,,21.0,2003.0,5.7,0,0,0,8,3,1,12,8,13,1,0,0,32,10,4,71.4
ENG-Premier League,2425,Brighton,Eiran Cashin,,,22.0,2001.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
ENG-Premier League,2425,Brighton,Evan Ferguson,,,19.0,2004.0,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,,,24.0,1999.0,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0
ENG-Premier League,2425,Brighton,Georginio Rutter,,,22.0,2002.0,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2
ENG-Premier League,2425,Brighton,Harry Howell,,,15.0,2008.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2425,Brighton,Igor,,,26.0,1998.0,10.7,4,0,0,9,6,0,4,4,5,0,0,0,42,8,6,57.1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,,,19.0,2005.0,20.5,5,0,0,18,9,0,27,16,19,0,0,0,63,20,16,55.6
ENG-Premier League,2425,Brighton,Jakub Moder,,,25.0,1999.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
ENG-Premier League,2425,Brighton,James Milner,,,38.0,1986.0,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,,,24.0,2000.0,32.9,8,1,1,25,24,0,11,24,29,0,0,0,131,82,50,62.1
ENG-Premier League,2425,Brighton,Jason Steele,,,33.0,1990.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,,,22.0,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ENG-Premier League,2425,Brighton,João Pedro,,,22.0,2001.0,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8
ENG-Premier League,2425,Brighton,Joël Veltman,,,32.0,1992.0,18.9,5,0,0,27,44,0,24,19,29,0,1,0,68,21,18,53.8
ENG-Premier League,2425,Brighton,Julio Enciso,,,20.0,2004.0,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5
