,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,0,0,0,4,6,0,2,2,5,0,0,0,9,0,1,0.0
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,4,0,0,20,20,2,53,24,29,0,0,0,119,9,15,37.5
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36.0
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,11,0,0,70,58,0,10,49,73,2,1,0,229,35,16,68.6
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,7,1,0,35,29,23,3,3,13,0,0,0,48,21,36,36.8
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,3,0,0,22,25,5,63,10,18,0,0,0,84,11,19,36.7
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,8,0,0,21,33,3,149,9,9,0,0,0,81,11,30,26.8
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,1,0,0,8,11,0,43,13,9,0,0,0,66,23,9,71.9
