,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,RB Leipzig,Castello Lukeba,FRA,DF,21,2002,17.5,2,0,0,12,15,0,11,17,17,0,0,0,74,26,13,66.7
GER-Bundesliga,2425,RB Leipzig,Christoph Baumgartner,AUT,MF,24,1999,17.9,5,0,0,44,29,4,14,12,28,0,0,0,86,41,39,51.3
GER-Bundesliga,2425,RB Leipzig,David Raum,GER,DF,26,1998,19.8,5,0,0,23,10,6,188,9,28,0,0,0,92,13,20,39.4
GER-Bundesliga,2425,RB Leipzig,El Chadaille Bitshiabu,FRA,DF,19,2005,12.6,2,1,0,8,2,0,4,13,18,0,0,0,55,22,18,55.0
GER-Bundesliga,2425,RB Leipzig,Elif Elmas,MKD,MF,24,1999,0.5,1,0,0,2,0,1,0,0,1,0,0,0,3,0,1,0.0
GER-Bundesliga,2425,RB Leipzig,Faik Sakar,GER,MF,16,2008,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GER-Bundesliga,2425,RB Leipzig,Kevin Kampl,SVN,MF,33,1990,17.7,5,0,0,20,7,1,29,24,18,0,0,0,100,3,13,18.8
GER-Bundesliga,2425,RB Leipzig,Kosta Nedeljković,SRB,DF,18,2005,5.3,1,0,0,7,1,1,17,2,8,0,0,0,11,0,3,0.0
GER-Bundesliga,2425,RB Leipzig,Loïs Openda,BEL,"FW,MF",24,2000,27.3,5,1,1,29,77,27,27,5,4,4,0,0,54,19,31,38.0
GER-Bundesliga,2425,RB Leipzig,Lukas Klostermann,GER,DF,28,1996,20.4,5,0,0,13,7,0,11,24,14,0,0,0,74,20,30,40.0
GER-Bundesliga,2425,RB Leipzig,Lutsharel Geertruida,NED,DF,24,2000,17.3,2,0,0,17,6,1,13,16,24,0,1,0,83,12,6,66.7
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,22,2002,4.8,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,100.0
GER-Bundesliga,2425,RB Leipzig,Mohamed Simakan,FRA,DF,24,2000,0.6,0,0,0,0,1,0,1,2,0,0,0,0,3,3,1,75.0
GER-Bundesliga,2425,RB Leipzig,Nicolas Seiwald,AUT,"MF,DF",23,2001,23.2,2,0,0,27,2,0,46,31,31,0,0,0,125,24,34,41.4
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,34,1990,29.2,0,0,0,0,1,0,0,0,1,0,0,0,41,11,1,91.7
GER-Bundesliga,2425,RB Leipzig,Ridle Baku,GER,"DF,MF",26,1998,14.2,1,0,0,13,14,3,34,9,19,0,0,0,45,10,17,37.0
GER-Bundesliga,2425,RB Leipzig,Tidiam Gomis,FRA,"MF,FW",17,2006,1.7,2,0,0,3,2,2,4,1,0,0,0,0,5,1,3,25.0
GER-Bundesliga,2425,RB Leipzig,Viggo Gebel,GER,MF,16,2007,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
GER-Bundesliga,2425,RB Leipzig,Willi Orban,HUN,DF,31,1992,24.7,4,2,0,23,14,4,5,21,21,0,1,0,122,104,46,69.3
GER-Bundesliga,2425,RB Leipzig,Xaver Schlager,AUT,MF,26,1997,2.0,1,0,0,4,3,0,1,0,2,0,0,0,8,0,4,0.0
GER-Bundesliga,2425,RB Leipzig,Xavi Simons,NED,MF,21,2003,23.9,5,0,0,24,56,5,79,12,21,0,0,0,128,19,26,42.2
GER-Bundesliga,2425,RB Leipzig,Yussuf Poulsen,DEN,"FW,MF",30,1994,4.2,1,0,0,8,14,1,2,0,5,0,0,0,16,27,11,71.1
GER-Bundesliga,2425,St. Pauli,Abdoulie Ceesay,GAM,FW,20,2004,0.7,1,0,0,2,3,0,0,0,3,0,0,0,4,0,6,0.0
GER-Bundesliga,2425,St. Pauli,Adam Dźwigała,POL,"DF,MF",28,1995,4.1,2,1,0,5,3,0,3,4,10,0,0,0,13,13,4,76.5
GER-Bundesliga,2425,St. Pauli,Andreas Albers,DEN,FW,34,1990,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,10,12,45.5
GER-Bundesliga,2425,St. Pauli,Ben Alexander Voll,GER,GK,23,2000,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GER-Bundesliga,2425,St. Pauli,Carlo Boukhalfa,MAR,MF,25,1999,18.3,1,0,0,18,17,2,10,12,11,0,0,0,60,23,42,35.4
GER-Bundesliga,2425,St. Pauli,Connor Metcalfe,AUS,"MF,FW",24,1999,4.0,2,1,1,5,4,0,7,3,0,0,0,0,9,13,11,54.2
GER-Bundesliga,2425,St. Pauli,Danel Sinani,LUX,"FW,MF",27,1997,13.9,3,0,0,25,14,4,67,1,11,0,0,0,52,10,32,23.8
GER-Bundesliga,2425,St. Pauli,David Nemeth,AUT,DF,23,2001,23.7,3,0,0,21,14,0,7,18,29,0,0,0,87,37,31,54.4
GER-Bundesliga,2425,St. Pauli,Elias Saad,TUN,"FW,MF",24,1999,10.0,1,0,0,17,24,7,14,3,13,0,0,0,43,8,22,26.7
GER-Bundesliga,2425,St. Pauli,Eric Smith,SWE,"DF,MF",27,1997,31.4,7,0,0,27,24,3,102,37,29,0,0,0,139,30,37,44.8
GER-Bundesliga,2425,St. Pauli,Erik Ahlstrand,SWE,"FW,MF",22,2001,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.0
GER-Bundesliga,2425,St. Pauli,Finley Stevens,WAL,DF,21,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GER-Bundesliga,2425,St. Pauli,Hauke Wahl,GER,DF,30,1994,33.0,1,0,0,13,15,2,8,31,27,0,0,0,129,47,50,48.5
GER-Bundesliga,2425,St. Pauli,Jackson Irvine,AUS,MF,31,1993,29.0,2,0,0,38,16,2,18,36,28,0,1,0,125,85,65,56.7
GER-Bundesliga,2425,St. Pauli,James Sands,USA,"MF,DF",24,2000,5.0,1,0,0,11,5,1,2,5,6,0,0,0,21,17,8,68.0
GER-Bundesliga,2425,St. Pauli,Johannes Eggestein,GER,FW,26,1998,20.6,3,0,0,11,12,14,35,0,3,0,0,0,58,28,85,24.8
GER-Bundesliga,2425,St. Pauli,Karol Mets,EST,DF,31,1993,10.0,1,0,0,7,5,0,3,12,8,0,1,0,35,24,10,70.6
GER-Bundesliga,2425,St. Pauli,Lars Ritzka,GER,"DF,MF",26,1998,10.2,1,0,0,10,6,1,19,11,29,0,0,0,35,7,22,24.1
GER-Bundesliga,2425,St. Pauli,Manolis Saliakas,GRE,"MF,DF",27,1996,25.7,4,0,0,16,15,0,82,20,22,1,0,0,84,14,11,56.0
GER-Bundesliga,2425,St. Pauli,Maurides,BRA,FW,30,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GER-Bundesliga,2425,St. Pauli,Morgan Guilavogui,GUI,"FW,MF",26,1998,20.1,6,0,0,48,34,11,13,13,17,0,0,0,71,66,75,46.8
GER-Bundesliga,2425,St. Pauli,Nikola Vasilj,BIH,GK,28,1995,33.0,2,1,1,1,1,0,0,0,0,0,1,0,54,9,0,100.0
GER-Bundesliga,2425,St. Pauli,Noah Weißhaupt,GER,"FW,MF",22,2001,12.9,0,0,0,10,42,6,72,2,4,0,0,0,51,15,19,44.1
GER-Bundesliga,2425,St. Pauli,Oladapo Afolayan,ENG,"FW,MF",26,1998,18.2,3,0,0,21,42,9,53,8,8,1,0,0,72,19,45,29.7
GER-Bundesliga,2425,St. Pauli,Philipp Treu,GER,"MF,DF",23,2000,32.0,2,0,0,20,36,3,60,19,42,0,0,1,147,21,36,36.8
GER-Bundesliga,2425,St. Pauli,Robert Wagner,GER,MF,21,2003,4.5,1,0,0,6,5,0,2,2,3,0,0,0,22,5,7,41.7
GER-Bundesliga,2425,St. Pauli,Scott Banks,SCO,"FW,MF",22,2001,1.3,1,0,0,2,4,0,5,2,1,0,0,0,4,1,6,14.3
GER-Bundesliga,2425,St. Pauli,Siebe Van Der Heyden,BEL,"DF,MF",26,1998,9.7,4,1,1,16,9,0,18,17,10,0,2,0,32,31,17,64.6
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,27,1996,34.0,0,0,0,0,4,0,0,0,0,0,0,0,72,4,1,80.0
GER-Bundesliga,2425,Stuttgart,Ameen Al-Dakhil,BEL,DF,22,2002,4.8,0,1,0,4,5,0,0,9,6,0,0,0,17,8,9,47.1
GER-Bundesliga,2425,Stuttgart,Angelo Stiller,GER,MF,23,2001,30.5,6,0,0,21,48,1,95,26,27,1,0,1,140,18,28,39.1
GER-Bundesliga,2425,Stuttgart,Anrie Chase,JPN,DF,20,2004,8.2,1,0,0,12,2,0,3,9,4,0,1,0,21,17,12,58.6
GER-Bundesliga,2425,Stuttgart,Anthony Rouault,FRA,DF,23,2001,13.5,1,0,0,18,8,0,1,19,11,0,0,0,63,33,21,61.1
GER-Bundesliga,2425,Stuttgart,Atakan Karazor,,MF,27,1996,29.1,10,1,1,38,59,2,4,32,29,0,0,0,171,57,44,56.4
GER-Bundesliga,2425,Stuttgart,Chris Führich,GER,"MF,FW",26,1998,22.0,1,0,0,9,6,2,82,6,10,0,0,0,64,5,8,38.5
GER-Bundesliga,2425,Stuttgart,Dan-Axel Zagadou,FRA,"DF,MF",25,1999,0.3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
GER-Bundesliga,2425,Stuttgart,Deniz Undav,GER,"FW,MF",28,1996,19.2,4,0,0,25,22,12,11,3,10,0,0,0,48,21,31,40.4
GER-Bundesliga,2425,Stuttgart,El Bilal Touré,MLI,"FW,MF",22,2001,4.0,0,0,0,9,3,1,0,0,1,0,0,0,8,19,14,57.6
GER-Bundesliga,2425,Stuttgart,Enzo Millot,FRA,"MF,FW",22,2002,20.5,9,0,0,25,37,3,41,13,13,0,1,0,99,8,19,29.6
GER-Bundesliga,2425,Stuttgart,Ermedin Demirović,BIH,FW,26,1998,20.6,2,0,0,24,27,17,3,3,7,0,0,0,33,34,47,42.0
GER-Bundesliga,2425,Stuttgart,Fabian Rieder,SUI,"MF,FW",22,2002,9.6,1,0,0,14,11,0,39,10,14,1,0,0,45,4,13,23.5
GER-Bundesliga,2425,Stuttgart,Finn Jeltsch,GER,DF,18,2006,8.7,2,0,0,7,5,0,3,13,13,0,0,0,34,12,8,60.0
GER-Bundesliga,2425,Stuttgart,Frans Krätzig,GER,DF,21,2003,0.6,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,100.0
GER-Bundesliga,2425,Stuttgart,Jacob Bruun Larsen,DEN,"MF,FW",25,1998,4.6,1,0,0,2,2,6,18,1,1,0,0,0,11,3,6,33.3
GER-Bundesliga,2425,Stuttgart,Jamie Leweling,GER,"MF,FW",23,2001,18.5,4,0,0,17,29,4,58,11,6,2,0,0,73,6,4,60.0
GER-Bundesliga,2425,Stuttgart,Jarzinho Malanga,GER,DF,18,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GER-Bundesliga,2425,Stuttgart,Josha Vagnoman,GER,"DF,MF",23,2000,20.4,4,0,0,18,20,0,43,14,14,0,1,0,92,22,20,52.4
GER-Bundesliga,2425,Stuttgart,Julian Chabot,GER,DF,26,1998,25.2,11,1,1,35,28,5,2,38,24,0,0,0,98,78,42,65.0
GER-Bundesliga,2425,Stuttgart,Justin Diehl,GER,"FW,DF",19,2004,1.2,0,0,0,2,0,0,10,0,0,0,0,0,8,0,1,0.0
GER-Bundesliga,2425,Stuttgart,Leonidas Stergiou,SUI,DF,22,2002,9.5,0,1,0,6,0,1,13,14,13,0,0,0,35,6,8,42.9
GER-Bundesliga,2425,Stuttgart,Luca Jaquez,SUI,DF,21,2003,2.8,0,0,0,4,0,0,1,3,0,0,0,0,11,4,2,66.7
GER-Bundesliga,2425,Stuttgart,Maximilian Mittelstädt,GER,DF,27,1997,27.4,5,0,0,24,38,2,164,47,54,0,0,0,119,24,19,55.8
GER-Bundesliga,2425,Stuttgart,Nick Woltemade,GER,"FW,MF",22,2002,18.0,5,1,1,24,35,6,6,1,7,0,0,0,53,47,62,43.1
GER-Bundesliga,2425,Stuttgart,Nikolas Nartey,DEN,MF,24,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
GER-Bundesliga,2425,Stuttgart,Pascal Stenzel,GER,DF,28,1996,3.2,0,0,0,4,2,0,25,2,2,0,0,0,11,3,6,33.3
GER-Bundesliga,2425,Stuttgart,Ramon Hendriks,NED,DF,23,2001,12.8,3,0,0,12,14,0,12,19,9,0,0,0,40,29,19,60.4
GER-Bundesliga,2425,Stuttgart,Yannik Keitel,GER,MF,24,2000,3.0,1,0,0,2,6,0,2,4,6,0,0,0,7,4,4,50.0
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32,1992,6.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,100.0
GER-Bundesliga,2425,Union Berlin,Aljoscha Kemlein,GER,MF,19,2004,10.2,3,0,0,15,2,1,5,6,4,0,1,0,58,19,14,57.6
GER-Bundesliga,2425,Union Berlin,Andrej Ilic,SRB,FW,24,2000,10.4,1,0,0,14,8,8,3,5,2,0,0,0,16,52,56,48.1
GER-Bundesliga,2425,Union Berlin,András Schäfer,HUN,MF,25,1999,17.0,3,0,0,27,33,0,17,22,26,0,0,0,72,28,19,59.6
GER-Bundesliga,2425,Union Berlin,Benedict Hollerbach,GER,"FW,MF",23,2001,28.2,3,0,0,42,45,17,73,2,22,2,1,0,111,29,65,30.9
GER-Bundesliga,2425,Union Berlin,Christopher Trimmel,AUT,"DF,MF",37,1987,19.3,5,0,0,14,5,1,111,18,25,0,0,0,63,23,13,63.9
GER-Bundesliga,2425,Union Berlin,Danilho Doekhi,NED,DF,26,1998,34.0,4,0,0,36,14,2,10,44,24,0,1,0,97,93,75,55.4
GER-Bundesliga,2425,Union Berlin,David Preu,GER,"MF,DF",19,2004,1.3,1,0,0,1,1,1,4,0,1,0,0,0,4,0,3,0.0
GER-Bundesliga,2425,Union Berlin,Diogo Leite,POR,DF,25,1999,28.3,3,0,0,25,37,2,10,57,32,0,0,1,104,78,63,55.3
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,31,1992,28.0,2,0,0,0,4,0,0,0,0,0,0,0,32,15,0,100.0
GER-Bundesliga,2425,Union Berlin,Ivan Prtajin,CRO,FW,28,1996,1.8,0,0,0,1,1,2,3,0,2,0,0,0,4,10,17,37.0
GER-Bundesliga,2425,Union Berlin,Janik Haberer,GER,"MF,DF",30,1994,18.8,1,0,0,22,15,3,15,17,29,0,0,0,83,15,29,34.1
GER-Bundesliga,2425,Union Berlin,Jeong Woo-yeong,KOR,"MF,FW",24,1999,14.0,2,0,0,16,15,4,36,11,7,0,0,0,68,14,27,34.1
GER-Bundesliga,2425,Union Berlin,Jordan Pefok,USA,FW,28,1996,10.1,2,0,0,22,15,7,0,4,6,0,0,0,31,44,35,55.7
GER-Bundesliga,2425,Union Berlin,Josip Juranović,CRO,"DF,MF",28,1995,12.9,4,0,0,8,6,1,78,7,13,0,0,0,62,4,5,44.4
GER-Bundesliga,2425,Union Berlin,Jérôme Roussillon,FRA,"DF,MF",31,1993,1.5,0,0,0,1,3,0,10,2,0,0,0,0,2,2,2,50.0
GER-Bundesliga,2425,Union Berlin,Kevin Vogt,GER,DF,32,1991,15.2,6,0,0,10,7,0,0,9,8,0,1,0,90,14,13,51.9
GER-Bundesliga,2425,Union Berlin,Kevin Volland,GER,"FW,MF",32,1992,0.7,1,0,0,3,0,0,0,0,0,0,0,0,2,3,1,75.0
GER-Bundesliga,2425,Union Berlin,Leopold Querfeld,AUT,DF,20,2003,19.4,8,0,0,20,13,0,0,19,12,0,1,0,66,65,54,54.6
GER-Bundesliga,2425,Union Berlin,Lucas Tousart,FRA,MF,27,1997,6.2,2,0,0,11,6,0,2,7,9,0,0,0,32,20,15,57.1
GER-Bundesliga,2425,Union Berlin,László Bénes,SVK,"MF,FW",26,1997,6.5,4,0,0,9,4,1,48,3,2,0,0,0,32,7,9,43.8
GER-Bundesliga,2425,Union Berlin,Marin Ljubicic,CRO,"FW,MF",22,2002,3.1,1,0,0,9,8,1,1,0,1,0,0,0,12,3,11,21.4
GER-Bundesliga,2425,Union Berlin,Rani Khedira,GER,MF,30,1994,30.3,7,0,0,45,18,1,22,44,40,0,1,0,108,42,42,50.0
GER-Bundesliga,2425,Union Berlin,Robert Skov,DEN,"DF,MF",28,1996,9.5,1,0,0,14,10,1,61,8,11,0,0,0,43,9,9,50.0
GER-Bundesliga,2425,Union Berlin,Robin Gosens,GER,DF,30,1994,1.0,1,0,0,5,0,0,1,1,0,0,0,0,1,7,4,63.6
GER-Bundesliga,2425,Union Berlin,Tim Skarke,GER,"FW,MF",27,1996,12.9,1,0,0,10,15,10,29,5,11,0,0,0,56,10,40,20.0
GER-Bundesliga,2425,Union Berlin,Tom Rothe,GER,"DF,MF",19,2004,18.6,4,1,0,25,11,2,46,18,28,1,0,0,77,43,44,49.4
GER-Bundesliga,2425,Union Berlin,Yorbe Vertessen,BEL,"MF,FW",23,2001,8.0,2,0,0,14,17,2,23,3,3,0,0,0,32,6,11,35.3
GER-Bundesliga,2425,Werder Bremen,Amos Pieper,GER,DF,26,1998,16.6,3,0,0,11,11,0,4,24,17,0,0,0,56,40,40,50.0
GER-Bundesliga,2425,Werder Bremen,André Silva,POR,FW,28,1995,4.2,1,0,0,4,7,2,4,0,2,0,0,0,10,12,12,50.0
GER-Bundesliga,2425,Werder Bremen,Anthony Jung,GER,DF,32,1991,21.1,1,0,0,9,15,2,4,25,22,0,2,0,81,34,20,63.0
GER-Bundesliga,2425,Werder Bremen,Derrick Köhn,GER,"DF,FW",25,1999,14.9,2,0,0,14,19,4,58,10,10,0,0,0,57,8,13,38.1
GER-Bundesliga,2425,Werder Bremen,Felix Agu,NGA,DF,24,1999,19.5,1,0,0,11,43,4,49,21,14,0,0,1,67,21,30,41.2
GER-Bundesliga,2425,Werder Bremen,Issa Kaboré,BFA,"DF,FW",23,2001,3.4,0,0,0,4,8,1,19,2,4,1,0,0,20,6,3,66.7
GER-Bundesliga,2425,Werder Bremen,Jens Stage,DEN,MF,27,1996,24.5,10,0,0,38,30,4,23,18,30,0,0,0,114,34,26,56.7
GER-Bundesliga,2425,Werder Bremen,Julián Malatini,ARG,DF,23,2001,5.0,1,0,0,9,5,0,3,7,9,0,0,0,19,10,5,66.7
GER-Bundesliga,2425,Werder Bremen,Justin Njinmah,GER,"FW,MF",23,2000,10.6,1,0,0,7,17,12,19,3,2,1,0,0,20,15,20,42.9
GER-Bundesliga,2425,Werder Bremen,Keke Maximilian Topp,GER,"FW,MF",20,2004,2.8,1,0,0,8,6,2,6,1,1,0,0,0,15,10,15,40.0
GER-Bundesliga,2425,Werder Bremen,Leonardo Bittencourt,GER,MF,30,1993,10.9,3,0,0,15,19,2,22,15,9,0,0,0,44,5,15,25.0
GER-Bundesliga,2425,Werder Bremen,Marco Friedl,AUT,DF,26,1998,24.0,10,2,1,26,16,3,2,34,42,0,0,2,141,46,43,51.7
GER-Bundesliga,2425,Werder Bremen,Marco Grüll,AUT,"FW,MF",26,1998,13.1,1,0,0,22,31,6,21,3,9,1,0,0,43,5,19,20.8
GER-Bundesliga,2425,Werder Bremen,Marvin Ducksch,GER,FW,30,1994,26.9,3,0,0,6,17,14,167,8,7,0,0,0,65,19,29,39.6
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29,1995,34.0,2,0,0,0,6,0,0,1,0,0,0,0,42,8,1,88.9
GER-Bundesliga,2425,Werder Bremen,Miloš Veljković,SRB,DF,28,1995,11.4,1,0,0,5,3,2,9,2,5,0,1,0,32,24,18,57.1
GER-Bundesliga,2425,Werder Bremen,Mitchell Weiser,GER,"DF,MF",30,1994,31.9,9,1,1,30,45,1,78,22,40,0,0,0,152,31,50,38.3
GER-Bundesliga,2425,Werder Bremen,Niklas Stark,GER,DF,29,1995,23.4,6,1,1,30,28,2,3,36,21,0,0,0,73,48,31,60.8
GER-Bundesliga,2425,Werder Bremen,Oliver Burke,SCO,FW,27,1997,10.1,4,0,0,12,2,8,20,2,4,0,0,0,26,40,21,65.6
GER-Bundesliga,2425,Werder Bremen,Olivier Deman,BEL,DF,24,2000,0.7,1,0,0,1,2,0,6,3,3,0,0,0,5,4,0,100.0
GER-Bundesliga,2425,Werder Bremen,Romano Schmid,AUT,MF,24,2000,31.5,4,0,0,28,42,3,145,11,25,1,0,0,167,23,28,45.1
GER-Bundesliga,2425,Werder Bremen,Senne Lynen,BEL,MF,25,1999,30.4,9,0,0,38,25,0,5,65,39,0,0,0,191,25,28,47.2
GER-Bundesliga,2425,Werder Bremen,Skelly Alvero,FRA,MF,22,2002,2.6,1,0,0,7,5,0,0,2,6,0,0,0,13,5,3,62.5
GER-Bundesliga,2425,Wolfsburg,Andreas Skov Olsen,DEN,"FW,MF",24,1999,5.9,0,0,0,2,3,2,29,2,6,0,0,0,18,3,3,50.0
GER-Bundesliga,2425,Wolfsburg,Aster Vranckx,BEL,MF,21,2002,6.2,1,0,0,12,11,0,3,10,6,0,0,0,22,7,14,33.3
GER-Bundesliga,2425,Wolfsburg,Bence Dárdai,HUN,MF,18,2006,14.5,0,0,0,9,16,0,10,12,14,1,0,0,52,10,15,40.0
GER-Bundesliga,2425,Wolfsburg,Cedric Zesiger,SUI,DF,26,1998,5.8,4,0,0,14,5,0,3,3,8,0,1,0,16,3,10,23.1
GER-Bundesliga,2425,Wolfsburg,David Odogu,GER,DF,18,2006,2.2,0,0,0,2,0,1,0,2,4,0,0,0,4,9,3,75.0
GER-Bundesliga,2425,Wolfsburg,Denis Vavro,SVK,DF,28,1996,27.3,4,0,0,7,5,0,8,37,13,0,0,0,89,80,34,70.2
GER-Bundesliga,2425,Wolfsburg,Jakub Kamiński,POL,"DF,MF",22,2002,12.6,2,0,0,10,3,0,50,13,8,1,0,1,52,7,19,26.9
GER-Bundesliga,2425,Wolfsburg,Joakim Mæhle,DEN,DF,27,1997,24.3,6,0,0,9,16,0,25,25,15,0,1,0,122,17,12,58.6
GER-Bundesliga,2425,Wolfsburg,Jonas Wind,DEN,"FW,MF",25,1999,21.8,2,0,0,15,40,4,7,6,6,0,0,0,59,98,100,49.5
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,25,1999,28.7,2,0,0,0,3,0,0,0,0,0,0,0,43,8,0,100.0
GER-Bundesliga,2425,Wolfsburg,Kevin Behrens,GER,FW,33,1991,1.9,2,0,0,4,1,1,0,1,1,0,0,0,9,14,16,46.7
GER-Bundesliga,2425,Wolfsburg,Kevin Paredes,USA,DF,21,2003,1.4,1,0,0,1,4,0,1,1,1,0,0,0,7,1,1,50.0
GER-Bundesliga,2425,Wolfsburg,Kilian Fischer,GER,DF,23,2000,25.5,7,0,0,34,7,0,39,19,44,0,0,0,84,21,36,36.8
GER-Bundesliga,2425,Wolfsburg,Konstantinos Koulierakis,GRE,DF,20,2003,27.4,4,0,0,24,13,2,13,33,20,0,0,0,93,59,39,60.2
GER-Bundesliga,2425,Wolfsburg,Lovro Majer,CRO,MF,26,1998,3.4,1,0,0,6,6,0,17,1,1,0,0,0,12,3,4,42.9
GER-Bundesliga,2425,Wolfsburg,Lukas Nmecha,GER,"FW,MF",25,1998,5.2,1,0,0,7,17,0,6,2,0,0,0,0,15,16,12,57.1
GER-Bundesliga,2425,Wolfsburg,Mads Roerslev,DEN,DF,25,1999,3.3,0,0,0,2,3,0,7,5,9,0,0,0,8,2,7,22.2
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31,1993,5.3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,100.0
GER-Bundesliga,2425,Wolfsburg,Mattias Svanberg,SWE,MF,25,1999,13.5,4,0,0,16,22,0,35,15,10,0,0,0,48,12,20,37.5
GER-Bundesliga,2425,Wolfsburg,Maximilian Arnold,GER,MF,30,1994,26.2,7,1,0,30,52,0,152,24,20,0,0,0,154,14,23,37.8
GER-Bundesliga,2425,Wolfsburg,Mohamed Amoura,ALG,FW,24,2000,27.4,6,0,0,30,20,24,35,9,22,1,0,0,92,19,45,29.7
GER-Bundesliga,2425,Wolfsburg,Patrick Wimmer,AUT,"MF,FW",23,2001,19.7,5,1,0,36,40,6,42,32,35,0,0,0,92,36,49,42.4
GER-Bundesliga,2425,Wolfsburg,Ridle Baku,GER,"FW,MF",26,1998,13.0,2,0,0,13,10,1,37,15,15,0,0,0,68,5,16,23.8
GER-Bundesliga,2425,Wolfsburg,Salih Özcan,TUR,MF,26,1998,3.9,0,0,0,5,6,0,8,7,2,0,0,0,27,5,4,55.6
GER-Bundesliga,2425,Wolfsburg,Sebastiaan Bornauw,BEL,DF,25,1999,8.8,2,0,0,12,2,0,1,12,6,0,1,0,28,36,21,63.2
GER-Bundesliga,2425,Wolfsburg,Tiago Tomás,POR,"FW,MF",22,2002,20.9,7,0,0,30,48,6,22,9,19,1,0,0,74,9,30,23.1
GER-Bundesliga,2425,Wolfsburg,Yannick Gerhardt,GER,"MF,DF",30,1994,16.9,5,1,0,20,13,2,24,17,16,0,0,0,49,21,29,42.0
ITA-Serie A,2425,Atalanta,Ademola Lookman,NGA,"MF,FW",26,1997,25.0,4,0,0,31,20,26,124,3,15,0,0,0,69,17,13,56.7
ITA-Serie A,2425,Atalanta,Alberto Manzoni,ITA,MF,19,2005,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
ITA-Serie A,2425,Atalanta,Ben Godfrey,ENG,DF,26,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
ITA-Serie A,2425,Atalanta,Berat Djimsiti,ALB,DF,31,1993,29.3,6,0,0,23,21,0,11,40,33,0,1,1,102,90,58,60.8
ITA-Serie A,2425,Atalanta,Charles De Ketelaere,BEL,"MF,FW",23,2001,23.0,1,0,0,22,39,2,56,3,9,0,0,0,78,36,38,48.6
ITA-Serie A,2425,Atalanta,Daniel Maldini,ITA,"FW,MF",22,2001,2.9,0,0,0,3,7,1,5,2,2,0,0,0,8,8,5,61.5
ITA-Serie A,2425,Atalanta,Davide Zappacosta,ITA,DF,32,1992,23.0,3,0,0,19,14,6,95,11,16,0,0,0,89,9,12,42.9
ITA-Serie A,2425,Atalanta,Federico Cassa,ITA,"MF,FW",18,2006,0.2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,
ITA-Serie A,2425,Atalanta,Gianluca Scamacca,ITA,FW,25,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA-Serie A,2425,Atalanta,Giorgio Scalvini,ITA,DF,20,2003,3.0,2,0,0,7,1,0,0,4,4,0,0,0,13,8,6,57.1
ITA-Serie A,2425,Atalanta,Ibrahim Sulemana,GHA,MF,21,2003,3.1,1,0,0,2,2,0,0,0,4,0,0,0,13,9,4,69.2
ITA-Serie A,2425,Atalanta,Isak Hien,SWE,DF,25,1999,25.9,10,0,0,36,19,0,1,31,28,0,1,0,141,68,56,54.8
ITA-Serie A,2425,Atalanta,Juan Cuadrado,COL,"DF,MF",36,1988,9.2,3,0,0,9,27,0,56,7,9,1,0,0,31,12,4,75.0
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
